Commonname(query)	ORF(query)	Description(query)	Alias(query)	Commonname(array)	ORF(array)	Description(array)	Alias(array)	SGA epsilon scores	P-value
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SAM37	YMR060C	Component of the Sorting and Assembly Machinery (SAM or TOB complex) of the mitochondrial outer membrane, which binds precursors of beta-barrel proteins and facilitates their outer membrane insertion; contributes to SAM complex stability	TOM37|PET3027|MAS37	-0.093	0.044
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	GID8	YMR135C	Subunit of GID Complex, binds strongly to central component Vid30p; GID Complex is involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; recruits Rmd5p, Fyv10 and Vid28p to GID Complex; contains LisH, CTLH, and CRA domains that mediate binding to Vid30p (LisH) and Rmd5p and Vid28p (CTLH and CRA); dosage-dependent regulator of START	DCR1	-0.093	0.02656
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SHE4	YOR035C	Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization	DIM1	-0.093	0.01682
GID8	YMR135C	Subunit of GID Complex, binds strongly to central component Vid30p; GID Complex is involved in proteasome-dependent catabolite inactivation of fructose-1,6-bisphosphatase; recruits Rmd5p, Fyv10 and Vid28p to GID Complex; contains LisH, CTLH, and CRA domains that mediate binding to Vid30p (LisH) and Rmd5p and Vid28p (CTLH and CRA); dosage-dependent regulator of START	DCR1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.093	0.02656
SHE4	YOR035C	Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization	DIM1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.093	0.01682
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PER1	YCR044C	Protein of the endoplasmic reticulum, required for GPI-phospholipase A2 activity that remodels the GPI anchor as a prerequisite for association of GPI-anchored proteins with lipid rafts; functionally complemented by human ortholog PERLD1	COS16	-0.092	0.0000000000003506
SWI4	YER111C	DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; acetylation at two sites, K1016 and K1066, regulates interaction with Swi6p	ART1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.091	2.046E-016
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SWI4	YER111C	DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; acetylation at two sites, K1016 and K1066, regulates interaction with Swi6p	ART1	-0.091	2.046E-016
pol5-1	YEL055C	DNA Polymerase phi; has sequence similarity to the human MybBP1A and weak sequence similarity to B-type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.089	0.01257
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	REE1	YJL217W	Cytoplasmic protein involved in the regulation of enolase (ENO1); mRNA expression is induced by calcium shortage, copper deficiency (via Mac1p) and the presence of galactose (via Gal4p); mRNA expression is also regulated by the cell cycle		-0.089	0.04123
REE1	YJL217W	Cytoplasmic protein involved in the regulation of enolase (ENO1); mRNA expression is induced by calcium shortage, copper deficiency (via Mac1p) and the presence of galactose (via Gal4p); mRNA expression is also regulated by the cell cycle		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.089	0.04123
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	LSB3	YFR024C-A	Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; protein abundance increases in response to DNA replication stress; LSB3 has a paralog, YSC84, that arose from the whole genome duplication	YFR024C	-0.088	0.001196
TPA1	YER049W	Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.086	0.008547
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	TPA1	YER049W	Poly(rA)-binding protein involved in translation termination efficiency, mRNA poly(A) tail length and mRNA stability; interacts with Sup45p (eRF1), Sup35p (eRF3) and Pab1p; similar to prolyl 4-hydroxylases; binds Fe(III) and 2-oxoglutarate		-0.086	0.008547
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	APT2	YDR441C	Potential adenine phosphoribosyltransferase; encodes a protein with similarity to adenine phosphoribosyltransferase, but artificially expressed protein exhibits no enzymatic activity; APT2 has a paralog, APT1, that arose from the whole genome duplication		-0.085	0.01918
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	FYV10	YIL097W	Subunit of GID complex; involved in proteasome-dependent catabolite inactivation of gluconeogenic enzymes FBPase, PEPCK, and c-MDH; forms dimer with Rmd5p that is then recruited to GID Complex by Gid8p; contains a degenerate RING finger motif needed for GID complex ubiquitin ligase activity in vivo, as well as CTLH and CRA domains; plays role in anti-apoptosis; required for survival upon exposure to K1 killer toxin	GID9	-0.084	0.008375
FYV10	YIL097W	Subunit of GID complex; involved in proteasome-dependent catabolite inactivation of gluconeogenic enzymes FBPase, PEPCK, and c-MDH; forms dimer with Rmd5p that is then recruited to GID Complex by Gid8p; contains a degenerate RING finger motif needed for GID complex ubiquitin ligase activity in vivo, as well as CTLH and CRA domains; plays role in anti-apoptosis; required for survival upon exposure to K1 killer toxin	GID9	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.084	0.008375
smc3-42	YJL074C	Subunit of the multiprotein cohesin complex required for sister chromatid cohesion in mitotic cells; also required, with Rec8p, for cohesion and recombination during meiosis; phylogenetically conserved SMC chromosomal ATPase family member		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.084	0.008164
BEM1	YBR200W	Protein containing SH3-domains, involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p	SRO1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.083	0.02993
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	BEM1	YBR200W	Protein containing SH3-domains, involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p	SRO1	-0.083	0.02993
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YLR112W	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data		-0.083	0.000000004887
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	GPH1	YPR160W	Non-essential glycogen phosphorylase required for the mobilization of glycogen, activity is regulated by cyclic AMP-mediated phosphorylation, expression is regulated by stress-response elements and by the HOG MAP kinase pathway		-0.083	0.000003382
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SNL1	YIL016W	Ribosome-associated protein proposed to act in protein synthesis and nuclear pore complex biogenesis and maintenance as well as protein folding; has similarity to the mammalian BAG-1 protein		-0.082	0.00000000005848
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	VPS51	YKR020W	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; links the (VFT/GARP) complex to the SNARE Tlg1p	VPS67|API3|WHI6	-0.082	0.03082
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	RPS7B	YNL096C	Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7B has a paralog, RPS7A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	S7e|rp30|S7B	-0.082	2.489E-020
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	MSC6	YOR354C	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies		-0.082	8.095E-124
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	CIT3	YPR001W	Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate		-0.082	0.001521
VPS51	YKR020W	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; links the (VFT/GARP) complex to the SNARE Tlg1p	VPS67|API3|WHI6	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.082	0.03082
MSC6	YOR354C	Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.082	8.095E-124
CIT3	YPR001W	Dual specificity mitochondrial citrate and methylcitrate synthase; catalyzes the condensation of acetyl-CoA and oxaloacetate to form citrate and that of propionyl-CoA and oxaloacetate to form 2-methylcitrate		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.082	0.001521
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	RPS1A	YLR441C	Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1A has a paralog, RPS1B, that arose from the whole genome duplication	S1e|rp10A|S1A|RP10A	-0.081	0.01423
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YML119W	Putative protein of unknown function; YML119W is not an essential gene; potential Cdc28p substrate		-0.081	0.00003215
mak21-1	YDR060W	Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein	NOC1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.081	0.02146
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YGL218W	Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 93% of ORF overlaps the verified gene MDM34; deletion in cyr1 mutant results in loss of stress resistance	SRF1	0.082	0.02379
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	YKE2	YLR200W	Subunit of the heterohexameric Gim/prefoldin protein complex involved in the folding of alpha-tubulin, beta-tubulin, and actin	PFD6|GIM1	0.083	0.02583
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	VAC14	YLR386W	Protein involved in regulated synthesis of PtdIns(3,5)P(2), in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole size and acidity; interacts with Fig4p; activator of Fab1p		0.083	0.00000279
YKE2	YLR200W	Subunit of the heterohexameric Gim/prefoldin protein complex involved in the folding of alpha-tubulin, beta-tubulin, and actin	PFD6|GIM1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.083	0.02583
VAC14	YLR386W	Protein involved in regulated synthesis of PtdIns(3,5)P(2), in control of trafficking of some proteins to the vacuole lumen via the MVB, and in maintenance of vacuole size and acidity; interacts with Fig4p; activator of Fab1p		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.083	0.00000279
RVB2_damp	YPL235W	ATP-dependent DNA helicase, also known as reptin; member of the AAA+ and RuvB protein families, similar to Rvb1p; conserved component of multiple complexes including the INO80 complex, the Swr1 complex, and the R2TP complex (Rvb1-Rvb2-Tah1-Pih1); involved in multiple processes such as chromatin remodeling, box C/D snoRNP assembly, and RNA polymerase II assembly	TIP48|TIH2|TIP49B	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.083	0.01031
cet1-15	YPL228W	RNA 5'-triphosphatase; beta subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CEG1, a guanylyltransferase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide; CET1 has a paralog, CTL1, that arose from the whole genome duplication	CES5	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.083	0.03181
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	FCY2	YER056C	Purine-cytosine permease; mediates purine (adenine, guanine, and hypoxanthine) and cytosine accumulation; relative distribution to the vacuole increases upon DNA replication stress	BRA7	0.084	0.001624
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	THI6	YPL214C	Bifunctional enzyme with thiamine-phosphate pyrophosphorylase and 4-methyl-5-beta-hydroxyethylthiazole kinase activities, required for thiamine biosynthesis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern		0.085	0.0236
CWH41	YGL027C	Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress	DER7|GLS1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.086	0.002077
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	CWH41	YGL027C	Processing alpha glucosidase I, ER type II integral membrane N-glycoprotein involved in assembly of cell wall beta 1,6 glucan and asparagine-linked protein glycosylation; also involved in ER protein quality control and sensing of ER stress	DER7|GLS1	0.086	0.002077
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YOR338W	Putative protein of unknown function; YOR338W transcription is regulated by Azf1p and its transcript is a specific target of the G protein effector Scp160p; identified as being required for sporulation in a high-throughput mutant screen; YOR338W has a paralog, FUN19, that arose from the whole genome duplication		0.086	0.009479
sec16-2	YPL085W	COPII vesicle coat protein required for ER transport vesicle budding; Sec16p is bound to the periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p, Sec24p and Sec31p	LPF1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.086	0.01903
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	AUA1	YFL010W-A	Protein required for the negative regulation by ammonia of Gap1p, which is a general amino acid permease	YFL011W-A	0.087	0.009663
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ROM2	YLR371W	GDP/GTP exchange factor (GEF) for Rho1p and Rho2p; mutations are synthetically lethal with mutations in rom1, which also encodes a GEF; Rom2p localization to the bud surface is dependent on Ack1p; ROM2 has a paralog, ROM1, that arose from the whole genome duplication		0.088	0.0006443
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	WHI2	YOR043W	Protein required, with binding partner Psr1p, for full activation of the general stress response, possibly through Msn2p dephosphorylation; regulates growth during the diauxic shift; negative regulator of G1 cyclin expression		0.089	0.01653
WHI2	YOR043W	Protein required, with binding partner Psr1p, for full activation of the general stress response, possibly through Msn2p dephosphorylation; regulates growth during the diauxic shift; negative regulator of G1 cyclin expression		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.089	0.01653
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	NGL2	YMR285C	Protein involved in 5.8S rRNA processing; Ccr4p-like RNase required for correct 3'-end formation of 5.8S rRNA at site E; similar to Ngl1p; NGL2 has a paralog, NGL3, that arose from the whole genome duplication		0.091	0.0001605
RPC53_damp	YDL150W	RNA polymerase III subunit C53	C53|RPC4	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.092	0.01135
DEG1	YFL001W	tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm; non-essential for viability	HRM3|PUS3	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.092	0.04122
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	DEG1	YFL001W	tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm; non-essential for viability	HRM3|PUS3	0.092	0.04122
BCY1	YIL033C	Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA), a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation	SRA1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.092	0.002265
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	USA1	YML029W	Scaffold subunit of the Hrd1p ubiquitin ligase that also promotes ligase oligomerization; involved in ER-associated protein degradation (ERAD); interacts with the U1 snRNP-specific protein, Snp1p		0.093	0.0001985
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	GEM1	YAL048C	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases	GON1	0.094	0.04209
mtw1-ts	YAL034W-A	Essential component of the MIND kinetochore complex (Mtw1p Including Nnf1p-Nsl1p-Dsn1p) which joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly	NSL2|DSN3	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.095	0.000003514
LRS4	YDR439W	Nucleolar protein that forms a complex with Csm1p, and then Mam1p at kinetochores during meiosis I to mediate accurate homolog segregation; required for condensin recruitment to the replication fork barrier site and rDNA repeat segregation		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.096	0.00009362
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PPG1	YNR032W	Putative serine/threonine protein phosphatase of the type 2A-like phosphatase family, required for glycogen accumulation; interacts with Tap42p, which binds to and regulates other protein phosphatases		0.096	0.003825
sec61-2	YLR378C	Essential subunit of Sec61 complex (Sec61p, Sbh1p, and Sss1p); forms a channel for SRP-dependent protein import and retrograde transport of misfolded proteins out of the ER; with Sec63 complex allows SRP-independent protein import into ER		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.096	0.0224
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	AIM4	YBR194W	Protein proposed to be associated with the nuclear pore complex; null mutant is viable, displays elevated frequency of mitochondrial genome loss and is sensitive to freeze-thaw stress	SOY1	0.098	6.018E-045
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	MTC5	YDR128W	Subunit of the SEA (Seh1-associated) complex; SEA is a coatomer-related complex that associates dynamically with the vacuole; has N-terminal WD-40 repeats and a C-terminal RING motif; mtc5 is synthetically sick with cdc13-1; relative distribution to vacuolar membrane punctae decreases upon DNA replication stress	SEA3	0.098	0.01395
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	MSB4	YOL112W	GTPase-activating protein of the Ras superfamily; acts primarily on Sec4p, localizes to the bud site and bud tip; msb3 msb4 double mutation causes defects in secretion and actin organization; MSB4 has a paralog, MSB3, that arose from the whole genome duplication		0.098	0.0004795
MED1	YPR070W	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.098	0.0002009
sec63-1	YOR254C	Essential subunit of Sec63 complex (Sec63p, Sec62p, Sec66p and Sec72p); with Sec61 complex, Kar2p/BiP and Lhs1p forms a channel competent for SRP-dependent and post-translational SRP-independent protein targeting and import into the ER	PTL1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.1	0.00000002159
taf12-W486stop	YDR145W	Subunit (61/68 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A	TafII61|TafII68|TAF68|TAF61	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	0.102	8.445E-015
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	RRT13	YER066W	Putative protein of unknown function; non-essential gene identified in a screen for mutants with decreased levels of rDNA transcription		0.102	0.00000005473
